motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.000000,11.88260555,10.74445152,1.69236612,0.98503834,-2.61845994,-1.93363583,9.53560352,6.95491028,6.58879805,7.95823526,1.64811301,0.90006202,0.23533399,0.18176781,0.30404699,0.35658020
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.025002,12.49609661,10.78541470,0.39891794,0.35571888,-1.55113101,-1.47920859,10.26166153,7.23954725,6.96022415,7.85659361,-0.11388500,0.08147689,0.03952200,0.08395048,0.38026801,0.33593118
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.049999,9.94184971,9.10054302,1.17790854,0.40183637,-0.79452902,-0.76892310,7.68969011,5.67918396,6.25122118,7.06933546,-1.16510797,-0.35615534,0.08847700,0.14650774,0.14887500,0.11472283
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.075001,7.53909779,9.65956783,0.42526671,0.34871444,-0.95558900,-1.23969781,5.34076118,6.54760504,5.23460722,6.99280119,-0.24627300,-0.29221475,0.34607700,0.18839723,-0.02078700,0.02681042
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.099998,10.45896912,9.68733311,0.43977469,0.22326638,-2.38751602,-1.50134814,8.05382442,6.51178932,6.23102808,7.01334286,0.41351199,-0.17128469,0.14539000,0.11407052,0.03565600,0.08658722
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.125000,10.87924862,10.21891975,0.48765981,0.35583228,-0.78948498,-1.32968235,8.56982422,6.86334038,6.65529013,7.45337725,-0.45199800,-0.27872351,0.05194300,0.12894841,0.17553300,0.17972791
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.150002,9.58084583,9.70945454,0.55004752,0.40537485,-1.88044298,-1.35597098,7.43206978,6.51074600,5.74637985,7.07425117,-0.41391101,-0.35927448,0.33904800,0.17931607,0.12757900,0.05564488
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.174999,9.93072414,9.68913460,0.47446090,0.39625463,-1.08178604,-1.30586934,7.50475407,6.18547106,6.41308689,7.34261417,-0.40084201,-0.31737909,0.09589800,0.22768602,-0.23503700,-0.06668831
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.200001,9.99925995,10.53033352,0.64357132,0.69430679,-1.96254206,-1.54838741,7.37315512,6.79696703,6.46298790,7.89250612,-0.52150297,-0.67944980,0.35639200,0.12646277,0.12330200,0.06646103
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.224998,10.55350876,9.57853985,1.29619968,1.03471434,-2.18842697,-1.83772659,7.72163105,5.59219456,6.85301018,7.55635786,-1.28702605,-1.01139605,-0.02043900,0.05388733,0.15257700,0.21167904
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.250000,8.54955101,9.48456383,1.21638393,0.76711154,-1.55871606,-1.52038693,5.26034403,5.21227884,6.55698109,7.77673006,-1.20111203,-0.75642419,0.08078000,0.03465387,0.17433999,0.12280744
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.275002,9.37015057,9.80759430,0.14298019,0.74315530,-1.76986206,-1.49196517,6.07944918,5.46305037,6.90707016,8.00737286,-0.11505400,-0.74160284,0.07337800,0.03059310,-0.04268000,0.03700076
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.299999,11.74644756,10.63541031,0.73370302,1.15047634,-1.69428003,-1.55053687,8.83182240,6.29948616,7.55694103,8.42758942,-0.73002398,-1.14920974,0.07077300,0.02386990,-0.01939800,0.04840514
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.325001,11.78348160,10.23458004,2.41735578,2.09477639,-1.67141104,-1.38989174,9.01523209,5.85244083,7.40151405,8.28032398,-2.41664600,-2.09299445,0.02372000,-0.01183076,0.05356200,0.08556738
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.349998,8.45687866,9.30757618,3.45912290,2.21813726,-1.77710605,-1.49001729,4.86700821,4.50525570,6.68378019,8.00709057,-3.45716405,-2.21355319,-0.03883500,-0.10207264,0.10972200,0.09947959
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.375000,7.81965303,9.41335773,1.55373836,1.90239680,-1.66424704,-1.29495478,2.67268991,4.02826500,7.15779209,8.40877342,-1.54019201,-1.89044118,-0.18210100,-0.17134093,0.09354500,0.12644379
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.400002,10.47261143,8.94912052,1.15850604,1.27633488,-1.05902898,-1.09967613,5.29565191,2.89854407,8.97274303,8.39499283,-1.15624905,-1.26510608,-0.03248600,-0.09739404,0.06456800,0.13802728
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.424999,8.94295597,9.99490166,1.16804886,0.87774116,-1.31107998,-1.12108457,3.13772893,3.80248451,8.27116585,9.17509365,-1.14076400,-0.86066562,0.08968200,0.08495951,0.23442000,0.14988676
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.450001,10.89160252,9.50183964,0.63781983,1.38084948,-1.17214894,-1.14057636,6.03256512,2.98689246,8.99228668,8.94776630,-0.54195100,-1.36506820,0.31235501,0.18975766,-0.12465000,0.08559202
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.474998,9.92127132,9.65145016,2.33049822,1.44397557,-1.83556402,-1.35081172,5.11895084,3.21942496,8.29811287,8.99783802,-2.31683612,-1.43167078,0.21829399,0.18342103,0.12585799,0.04172599
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.500000,8.35694981,9.84249973,1.70937431,1.63087535,-2.03367805,-1.82268810,2.55757809,3.06863379,7.69165516,9.17257309,-1.70106399,-1.62870502,0.16043501,0.03744969,-0.05101200,0.07531304
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.525002,9.83319092,9.57973576,1.28647900,1.38600099,-2.83427095,-1.83931124,3.55551910,1.85039949,8.71876335,9.21760750,-1.26518703,-1.36846566,-0.14204000,-0.17884851,0.18481000,0.12772430
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.549999,8.92505264,9.49147797,1.56050408,1.07599020,-1.37719703,-1.41695201,2.20281100,1.59740257,8.53859043,9.24817276,-1.51033604,-1.03191686,-0.39033300,-0.29838511,0.04120400,0.06219940
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.575001,9.63252544,9.78317261,0.52407151,0.98852545,-1.51268995,-1.02869391,2.34204602,2.13867474,9.22020245,9.49096012,-0.47390801,-0.94225651,-0.22247800,-0.29886723,0.02378400,0.00368419
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.599998,11.15805531,10.19229412,0.74944264,1.06578410,-0.59639001,-0.77393955,4.61624384,2.33605313,10.14084816,9.89073944,-0.72008502,-1.05715060,-0.20755200,-0.12269279,-0.00800100,0.05722578
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.625000,11.07151699,10.31545353,2.04437232,1.76220334,-1.19166803,-1.05155921,4.57179308,2.14660478,10.01284790,10.03468418,-2.02249599,-1.75749874,0.26928601,0.02492269,0.12827000,0.12624544
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.650002,9.30632114,9.52993870,2.72144413,1.85096622,-2.01638389,-1.17854607,1.83726203,0.60107487,8.89754295,9.43766212,-2.71989489,-1.85004902,-0.05976200,0.00021384,0.06970500,0.05826283
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.674999,8.72623730,9.59963703,1.54124177,1.47972989,-1.08373702,-1.19706643,-0.51410699,0.04747228,8.64340401,9.52458954,-1.53622794,-1.47534382,-0.01774500,-0.08318742,-0.12294300,-0.07772622
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.700001,10.13313103,9.82860184,0.80415821,1.30838001,-1.97966504,-1.11620963,1.32138705,-0.05751684,9.84962940,9.76484394,-0.78061903,-1.29502702,-0.08783600,-0.12068457,-0.17201500,-0.14212173
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.724998,10.80931377,10.16581535,1.62042820,1.58313262,-0.75876600,-1.11171353,2.47493601,0.11792113,10.49477196,10.10415745,-1.60217500,-1.57573438,-0.06415500,-0.01261139,-0.23389600,-0.15235141
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.750000,10.12250805,10.03048801,2.41542745,1.83924985,-1.82082105,-1.14980674,0.73048300,-0.40521955,9.93056774,9.95612526,-2.40144801,-1.83237910,0.24245299,0.09441715,-0.09248400,-0.12771893
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.775002,9.53997612,9.80390358,2.07013202,1.77136469,-1.38017499,-1.23704934,-1.15565097,-1.28723192,9.36860371,9.63998318,-2.06302190,-1.76680028,0.03271700,0.09850013,-0.16827700,-0.08029734
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.799999,9.31398678,9.73053551,1.26035619,1.34342265,-1.89097500,-1.35077858,-1.54039097,-1.51083469,8.98897934,9.51714802,-1.24376798,-1.34093082,0.19201399,0.02661095,-0.06833300,-0.07733504
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.825001,9.91279793,9.84934902,1.21403635,1.56473339,-1.91360199,-1.36086178,-0.04207600,-1.58461046,9.72624874,9.62531757,-1.20214605,-1.56328738,-0.13291000,-0.06656727,-0.10518600,-0.00957606
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.849998,9.83264160,9.70001125,2.27828169,2.07136393,-1.10058999,-0.98631608,0.34354201,-1.69553947,9.76480961,9.49960709,-2.27818799,-2.07042837,-0.00535400,-0.05336248,0.01995500,0.03204557
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.875000,9.00528717,9.58950996,2.94847512,2.23694539,-1.42054200,-0.96158350,-1.77833605,-3.13793802,8.71290874,9.01040459,-2.94808412,-2.23666382,0.03585000,-0.03410678,-0.03192900,-0.00977822
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.900002,10.16085815,9.67342091,2.25091481,1.65117967,-1.54400504,-1.09758902,-4.93094206,-3.99969697,8.74899387,8.73915291,-2.24721909,-1.64362335,-0.08008600,-0.08505428,-0.10104600,-0.13289854
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.924999,9.57849503,9.60509491,0.65436685,1.24289608,-1.59527504,-1.17164695,-4.31341314,-3.83247209,8.40221024,8.72910309,-0.59809500,-1.22543645,-0.05447200,-0.14024392,-0.25982901,-0.15306185
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.950001,9.96476364,9.51251984,1.24297822,1.14064407,-1.09939802,-0.81409395,-2.52385807,-4.44092703,9.57695007,8.37278080,-1.23016000,-1.13930035,-0.17752799,-0.04915242,-0.01360500,-0.02544808
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,34.974998,9.88727093,9.60313320,1.52572358,1.07486022,-1.08404601,-0.95571274,-4.63302994,-4.22003508,8.66706467,8.57310200,-1.50647497,-1.07349598,0.22965100,0.04302541,0.07500700,0.03286112
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.000000,9.64633274,9.77095604,0.50984806,0.76222491,-1.90263903,-1.29881191,-4.30524588,-4.59890604,8.42000866,8.52260208,-0.48224899,-0.75673789,0.09555700,0.07660308,-0.13509201,-0.04966501
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.025002,9.88491154,10.08090782,0.39100718,0.55842280,-1.88193405,-1.40504074,-3.28858900,-3.99413157,9.12989521,9.14863300,-0.38797501,-0.55244499,0.03871500,-0.00959425,-0.02938000,-0.08092269
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.049999,9.48873425,9.88439465,0.79088175,0.82564473,-1.95838404,-1.32169604,-2.56824493,-4.08347893,8.92215919,8.90390778,-0.76593399,-0.81347156,-0.12161100,-0.12081677,-0.15508001,-0.07318886
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.075001,9.56054306,9.70294094,1.44356704,0.98882937,-1.34550500,-1.04428494,-3.56882691,-4.70047760,8.76681614,8.42389774,-1.42606294,-0.96750891,-0.22401799,-0.18287382,-0.00679900,-0.09092440
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.099998,10.29941654,9.59385395,1.24837244,0.78348309,-0.89702201,-0.57893181,-6.05392599,-5.30698252,8.28391838,7.97137451,-1.23405099,-0.77474886,-0.17195900,-0.10640270,-0.07734400,-0.04783674
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.125000,10.13353157,9.89280128,0.31660640,0.58265591,-1.05538297,-1.05284476,-5.86595488,-5.32809782,8.19543839,8.26864052,-0.26423001,-0.58035350,0.16620000,-0.04713300,0.05291200,0.02135837
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.150002,9.74205399,9.87417221,0.17273311,0.68519068,-2.43987298,-1.24747503,-3.24080300,-5.16428709,8.85730362,8.32305431,-0.10882500,-0.67856872,-0.11713000,-0.09391968,-0.06537900,-0.01448631
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.174999,9.37960911,9.71818161,1.37200403,0.69085997,-0.79520398,-0.99696350,-3.88811302,-5.18157578,8.49866390,8.16090584,-1.36196804,-0.67821890,-0.16316500,-0.12012296,-0.02855600,-0.05363846
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.200001,10.27433300,9.73151970,0.89760363,0.60242605,-1.58579302,-0.76495934,-6.59253788,-5.58877945,7.71917200,7.92987156,-0.89539099,-0.58748043,-0.06188200,-0.11922755,-0.01174400,-0.05973854
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.224998,9.54422760,9.68666935,0.23160526,0.78989971,-0.92535502,-0.77755636,-4.80580711,-5.33702326,8.19391346,8.04631329,0.05228400,-0.77048653,-0.20012900,-0.16755138,-0.10419100,-0.04710157
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.250000,8.98177052,9.60738945,1.27876031,1.06348300,-1.42068303,-1.02709424,-2.94048500,-5.60918999,8.36704254,7.73201180,-1.27541900,-1.04783010,-0.02471300,-0.16446529,-0.08901500,-0.07745535
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.275002,10.20341301,9.79070282,2.04591608,1.31551230,-1.47568798,-0.75248367,-6.11270380,-5.78820372,8.03534889,7.86055517,-2.02389908,-1.30334735,-0.29908299,-0.16640167,0.01242600,-0.06456587
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.299999,10.30574703,10.15355968,1.07687986,0.94811618,-0.70183098,-0.72841656,-7.14682007,-7.15666342,7.39180803,7.16563654,-1.06014705,-0.92756778,-0.01284800,-0.16201597,-0.18866199,-0.11087459
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.325001,10.51253033,9.47451496,0.26559514,0.32835975,-1.36898899,-0.56076771,-7.90216589,-6.34413671,6.79668522,7.01454878,-0.14018101,-0.27674735,-0.22192700,-0.11224004,-0.04047800,-0.13650350
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.349998,8.97907734,9.70502853,0.34558055,0.59886020,-0.62966198,-0.75960207,-4.31852579,-6.21614408,7.84714508,7.41418457,0.21466900,-0.57474405,0.03216900,-0.12132312,-0.26890200,-0.11654846
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.375000,9.44871426,9.75760746,1.41617608,0.90835714,-1.75866699,-0.66868120,-4.33418703,-6.01671410,8.20975685,7.65264177,-1.40038800,-0.88872069,-0.20938900,-0.13653147,0.02498600,-0.12902482
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.400002,10.22033119,9.99587822,1.53932178,1.03881800,-0.06596000,-0.53379118,-6.77715921,-6.90846205,7.64989805,7.20456791,-1.50866604,-1.02009308,-0.09341600,-0.08832323,-0.29105300,-0.17536256
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.424999,10.93852901,9.88288307,0.64204150,0.53153342,-1.33887804,-0.40990439,-8.41334248,-7.04179573,6.86108494,6.92217302,-0.63786101,-0.50005031,0.05390600,-0.02811252,-0.04944500,-0.17800884
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.450001,9.68630028,9.83441353,0.35439083,0.56143934,-0.61480898,-0.55941916,-6.22276020,-6.90839195,7.39754581,6.97688103,0.21050100,-0.54767621,-0.03575000,-0.01399613,-0.28285000,-0.12275603
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.474998,9.06920338,9.73915768,1.08253765,0.80830872,-0.96380597,-0.44852453,-5.04615211,-6.97219229,7.47381210,6.78517151,-1.08000195,-0.80268621,0.07403000,0.01598359,-0.00177000,-0.09382094
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.500000,10.33885098,9.95818901,1.32825339,0.63052988,-0.93663198,-0.62460279,-7.85350895,-7.39238977,6.65859890,6.64288950,-1.31728303,-0.60611767,0.01904300,0.02650179,-0.16929200,-0.17171764
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.525002,10.73490906,9.76018524,0.30093250,0.30119318,-0.91121399,-0.35430065,-8.60475445,-7.25814533,6.35343695,6.51575041,0.18349600,-0.19090770,0.01539500,0.03234376,-0.23801801,-0.23070644
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.549999,9.31531525,9.80788231,0.36846733,0.28661761,-0.39271799,-0.22758475,-5.73982286,-7.24169970,7.32634306,6.61063862,0.28166699,-0.21209353,0.06653500,0.04907732,-0.22804600,-0.18643337
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.575001,9.51655197,9.79448986,0.74980623,0.41833913,-0.67927998,-0.27717844,-6.16557407,-6.90561104,7.21727324,6.94029808,-0.73080403,-0.35839364,0.09367600,0.09176864,-0.13913900,-0.19529507
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.599998,9.95547867,9.98066139,0.70333052,0.45172364,-0.93646997,-0.38506743,-7.41559315,-7.60679197,6.57598400,6.44996405,-0.65237099,-0.37664074,0.10880100,0.05694965,-0.23926599,-0.24280182
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.625000,10.36763096,9.74074554,0.29379100,0.23950469,-0.59129298,-0.12838882,-8.65152454,-7.58956051,5.68236399,6.10444212,-0.15372200,-0.04820663,-0.12967999,-0.03197403,-0.21416301,-0.23241402
